Date,Open,High,Low,Close,Adj Close,Volume,Date,Year,Month,Day
19-07-2019,9484.549805,9494.900391,9288.799805,9304.650391,9304.638672,13150300,19-07-2019,2019,7,19
22-07-2019,9282.599609,9285.299805,9197.299805,9247.75,9247.738281,12439200,22-07-2019,2019,7,22
23-07-2019,9265.849609,9277.650391,9208.900391,9233.549805,9233.538086,12699900,23-07-2019,2019,7,23
24-07-2019,9228.799805,9256.400391,9134.650391,9160.450195,9160.438477,13084700,24-07-2019,2019,7,24
25-07-2019,9173.75,9232.450195,9148.450195,9159.150391,9159.138672,14141400,25-07-2019,2019,7,25
26-07-2019,9156,9206.700195,9125.349609,9192.599609,9192.587891,13474600,26-07-2019,2019,7,26
29-07-2019,9205.349609,9208.200195,9081.700195,9108.900391,9108.888672,18021700,29-07-2019,2019,7,29
30-07-2019,9123.650391,9165.799805,8995.25,9004.049805,9004.038086,16915000,30-07-2019,2019,7,30
31-07-2019,8963.299805,9058.450195,8928,9044.950195,9044.938477,15162700,31-07-2019,2019,7,31
01-08-2019,9001.700195,9026.150391,8859.549805,8935.75,8935.738281,13764900,01-08-2019,2019,8,1
02-08-2019,8890.5,9007.049805,8821.099609,8943.950195,8943.938477,16107600,02-08-2019,2019,8,2
05-08-2019,8866.900391,8866.900391,8765.200195,8831.950195,8831.938477,13911300,05-08-2019,2019,8,5
06-08-2019,8792.650391,8960.950195,8791.599609,8918.599609,8918.587891,14294800,06-08-2019,2019,8,6
07-08-2019,8928.599609,8953.25,8840.150391,8854.650391,8854.638672,14779300,07-08-2019,2019,8,7
08-08-2019,8888.450195,8998.900391,8844.400391,8979.650391,8979.638672,14152600,08-08-2019,2019,8,8
09-08-2019,9022.5,9103.099609,9010.349609,9046.549805,9046.538086,14886400,09-08-2019,2019,8,9
13-08-2019,9066.349609,9070.200195,8874.849609,8890.099609,8890.087891,15502200,13-08-2019,2019,8,13
14-08-2019,8942,8998.25,8897,8971.099609,8971.087891,13999400,14-08-2019,2019,8,14
16-08-2019,8971.650391,8999.200195,8886.299805,8988.799805,8988.788086,14091900,16-08-2019,2019,8,16
19-08-2019,9022.599609,9061.400391,8983.650391,8997.950195,8997.938477,11295000,19-08-2019,2019,8,19
20-08-2019,9004.75,9012.099609,8930.5,8957.400391,8957.388672,12006400,20-08-2019,2019,8,20
21-08-2019,8957.849609,8965.099609,8858.450195,8864.5,8864.488281,13423900,21-08-2019,2019,8,21
22-08-2019,8851.349609,8853.25,8706.450195,8719.25,8719.238281,17483600,22-08-2019,2019,8,22
23-08-2019,8687.450195,8812.849609,8628.349609,8790.549805,8790.538086,17203700,23-08-2019,2019,8,23
26-08-2019,8933.049805,8973.200195,8735.299805,8964.700195,8964.688477,18075000,26-08-2019,2019,8,26
27-08-2019,9004,9047.849609,8972.900391,9022.25,9022.238281,18566800,27-08-2019,2019,8,27
28-08-2019,9023.799805,9047.549805,8930.099609,8970.900391,8970.888672,14455000,28-08-2019,2019,8,28
29-08-2019,8938.049805,8954.650391,8874.25,8906.099609,8906.087891,16308400,29-08-2019,2019,8,29
